Table,Column,Type,Nulls,Rows,Definition,Definition source
DimDate,Date,Text,0,365,Daily sales date,Supplied DataDictionary
DimDate,DateKey,Integer,0,365,Surrogate key. Joins to the matching dimension.,Convention
DimDate,Year,Integer,0,365,Calendar year.,Defined in this build
DimDate,QuarterNumber,Integer,0,365,"Quarter as 1-4, for sorting.",Defined in this build
DimDate,Quarter,Text,0,365,"Calendar quarter, e.g. Q3.",Defined in this build
DimDate,MonthNumber,Integer,0,365,"Month as 1-12, for sorting.",Defined in this build
DimDate,MonthName,Text,0,365,Full month name.,Defined in this build
DimDate,MonthShort,Text,0,365,Three-letter month abbreviation.,Defined in this build
DimDate,MonthYear,Text,0,365,"Month and year for display, e.g. Jul 2026.",Defined in this build
DimDate,MonthYearSort,Integer,0,365,"Integer YYYYMM so MonthYear sorts chronologically, not alphabetically.",Defined in this build
DimDate,Day,Integer,0,365,Calendar day number.,Defined in this build
DimDate,DayName,Text,0,365,Full weekday name.,Defined in this build
DimDate,DayOfWeek,Integer,0,365,"ISO weekday, Monday = 1.",Defined in this build
DimDate,IsWeekend,Integer,0,365,True for Saturday and Sunday.,Defined in this build
DimDate,WeekOfYear,Integer,0,365,ISO week number.,Defined in this build
DimDate,WeekStartDate,Text,0,365,Date value.,Convention
DimDate,MonthStartDate,Text,0,365,First day of the month this date falls in.,Defined in this build
DimDate,MonthEndDate,Text,0,365,Last day of the month this date falls in.,Defined in this build
DimMerchant,MerchantKey,Text,0,25,Surrogate key issued; natural key retained as MerchantID,Lineage — MerchantReference.MerchantID
DimMerchant,Merchant,Text,0,25,Fictional merchant name,Supplied DataDictionary
DimMerchant,Region,Text,0,25,Merchant operating region,Supplied DataDictionary
DimMerchant,Channel,Text,0,25,Primary merchant sales channel,Supplied DataDictionary
DimMerchant,ActiveStatus,Text,0,25,Merchant standing at the last load. A churned merchant must not be scored as an attrition risk.,Defined in this build
DimMerchant,AccountManager,Text,0,25,Owner the merchant is routed to — makes the risk register actionable.,Defined in this build
DimMerchant,OnboardedDate,Text,0,25,Derives TenureMonths and TenureBand,Lineage — MerchantReference.OnboardedDate
DimMerchant,TenureMonths,Integer,0,25,Whole months between OnboardedDate and the end of the window.,Defined in this build
DimMerchant,TenureBand,Text,0,25,Tenure grouped for reporting.,Defined in this build
DimMerchant,BaseMonthlySalesTarget,Decimal,0,25,"Supplied monthly target. Not on the same scale as actual sales — attainment runs 381% to 916%, so it is a relative ranking device only.",Defined in this build
DimVoucherType,VoucherTypeKey,Text,0,5,Surrogate key. Joins to the matching dimension.,Convention
DimVoucherType,VoucherType,Text,0,5,"Voucher product, e.g. Airtime, Electricity, Gaming.",Defined in this build
DimVoucherType,SettlementModel,Text,0,5,How the voucher settles commercially.,Defined in this build
DimPriority,PriorityKey,Text,0,4,Surrogate key. Joins to the matching dimension.,Convention
DimPriority,Priority,Text,0,4,"Ticket priority: Critical, High, Medium or Low.",Defined in this build
DimPriority,PrioritySort,Integer,0,4,"Severity order for sorting, Critical first.",Defined in this build
DimPriority,SLATargetHours,Integer,0,4,Contracted resolution target for the priority. Critical is 12h against an observed P90 of 74h — the queue runs in reverse priority order.,Defined in this build
DimTicketType,TicketTypeKey,Text,0,6,Surrogate key. Joins to the matching dimension.,Convention
DimTicketType,TicketType,Text,0,6,Ticket reason as supplied.,Defined in this build
DimTicketType,TicketCategory,Text,0,6,"Grouping of ticket types: Fulfilment, Financial or Commercial.",Defined in this build
FactMerchantSales,DateKey,Integer,0,26500,Converted to an integer date key joining DimDate,Lineage — MerchantSales.Date
FactMerchantSales,MerchantKey,Text,0,26500,Resolved to the surrogate key,Lineage — MerchantSales.MerchantID
FactMerchantSales,VoucherTypeKey,Text,0,26500,Resolved against DimVoucherType — conformed with the redemption fact,Lineage — MerchantSales.VoucherType
FactMerchantSales,SalesValue,Decimal,0,26500,Synthetic daily sales value in ZAR,Supplied DataDictionary
FactMerchantSales,Transactions,Integer,0,26500,Synthetic transaction count,Supplied DataDictionary
FactVoucherRedemptions,VoucherID,Text,0,120969,"Degenerate dimension — unique by construction, which is why duplicate-redemption fraud cannot be detected in this extract",Lineage — VoucherRedemptions.VoucherID
FactVoucherRedemptions,SoldDateKey,Integer,0,120969,ACTIVE relationship to DimDate,Lineage — VoucherRedemptions.SoldDate
FactVoucherRedemptions,RedeemedDateKey,Decimal,19126,120969,"INACTIVE relationship, activated by USERELATIONSHIP. Blank when unredeemed — kept blank, not defaulted",Lineage — VoucherRedemptions.RedeemedDate
FactVoucherRedemptions,MerchantKey,Text,0,120969,From VoucherRedemptions.MerchantID.,Lineage — VoucherRedemptions.MerchantID
FactVoucherRedemptions,VoucherTypeKey,Text,0,120969,From VoucherRedemptions.VoucherType.,Lineage — VoucherRedemptions.VoucherType
FactVoucherRedemptions,VoucherValue,Decimal,0,120969,Face value of the voucher in ZAR.,Defined in this build
FactVoucherRedemptions,IsRedeemed,Integer,0,120969,Yes/No text converted to 1/0 so it sums,Lineage — VoucherRedemptions.Redeemed
FactVoucherRedemptions,DaysToRedeem,Decimal,19126,120969,Days between sale and redemption. Null when unredeemed.,Defined in this build
FactVoucherRedemptions,IsDelayedRedemption,Decimal,19126,120969,"1 when DaysToRedeem exceeds 7 — an assumption, no threshold was supplied.",Defined in this build
FactSupportTickets,TicketID,Text,0,1363,Degenerate dimension,Lineage — SupportTickets.TicketID
FactSupportTickets,DateKey,Integer,0,1363,Ticket created date,Lineage — SupportTickets.Date
FactSupportTickets,MerchantKey,Text,0,1363,From SupportTickets.MerchantID.,Lineage — SupportTickets.MerchantID
FactSupportTickets,TicketTypeKey,Text,0,1363,Resolved against DimTicketType,Lineage — SupportTickets.TicketType
FactSupportTickets,PriorityKey,Text,0,1363,Resolved against DimPriority,Lineage — SupportTickets.Priority
FactSupportTickets,ResolutionHours,Decimal,0,1363,Synthetic hours to resolve or current elapsed hours,Supplied DataDictionary
FactSupportTickets,SLAHours,Integer,0,1363,SLA target by priority,Supplied DataDictionary
FactSupportTickets,Status,Text,0,1363,Ticket status as supplied.,Defined in this build
FactSupportTickets,IsSLABreach,Integer,0,1363,1 when ResolutionHours exceeds SLAHours.,Defined in this build
FactSupportTickets,IsOpen,Integer,0,1363,1 when the ticket is not yet resolved.,Defined in this build
DimMerchantSegment,MerchantKey,Text,0,25,Surrogate key. Joins to the matching dimension.,Convention
DimMerchantSegment,Merchant,Text,0,25,Fictional merchant name,Supplied DataDictionary
DimMerchantSegment,Region,Text,0,25,Merchant operating region,Supplied DataDictionary
DimMerchantSegment,Channel,Text,0,25,Primary merchant sales channel,Supplied DataDictionary
DimMerchantSegment,ActiveStatus,Text,0,25,Merchant standing at the last load. A churned merchant must not be scored as an attrition risk.,Defined in this build
DimMerchantSegment,AccountManager,Text,0,25,Owner the merchant is routed to — makes the risk register actionable.,Defined in this build
DimMerchantSegment,Segment,Text,0,25,K-Means segment label.,Defined in this build
DimMerchantSegment,SegmentID,Integer,0,25,K-Means cluster number.,Defined in this build
DimMerchantSegment,SegmentProfile,Text,0,25,Plain-English description of the segment.,Defined in this build
DimMerchantSegment,PCA1,Decimal,0,25,"First principal component, for the segment scatter.",Defined in this build
DimMerchantSegment,PCA2,Decimal,0,25,"Second principal component, for the segment scatter.",Defined in this build
DimMerchantSegment,HealthScore,Decimal,0,25,"Weighted 0-100 composite of momentum, trend, target, redemption, speed and operations. Authoritative version — see the single-banding note.",Defined in this build
DimMerchantSegment,RiskTier,Text,0,25,"Health band: Critical, Watch, Healthy or Star.",Defined in this build
DimMerchantSegment,TotalSales,Decimal,0,25,Sum of SalesValue for the merchant.,Defined in this build
DimMerchantSegment,TotalTransactions,Integer,0,25,Sum of Transactions for the merchant.,Defined in this build
DimMerchantSegment,AvgBasket,Decimal,0,25,SalesValue divided by Transactions.,Defined in this build
DimMerchantSegment,GrowthSlopePct,Decimal,0,25,"Least-squares slope of monthly sales, as a percentage of the mean.",Defined in this build
DimMerchantSegment,Volatility,Decimal,0,25,Coefficient of variation of monthly sales.,Defined in this build
DimMerchantSegment,RedemptionRate,Decimal,0,25,Vouchers redeemed divided by vouchers sold.,Defined in this build
DimMerchantSegment,AvgDaysToRedeem,Decimal,0,25,Mean DaysToRedeem across redeemed vouchers.,Defined in this build
DimMerchantSegment,DelayedRate,Decimal,0,25,Share of redemptions taking more than 7 days.,Defined in this build
DimMerchantSegment,Tickets,Integer,0,25,Ticket count for the merchant.,Defined in this build
DimMerchantSegment,TicketsPer1kTx,Decimal,0,25,"Tickets per 1,000 transactions — size-adjusted, so a large merchant is not flagged simply for being large.",Defined in this build
DimMerchantSegment,AvgResolutionHours,Decimal,0,25,"Mean ResolutionHours, closed tickets only.",Defined in this build
DimMerchantSegment,SLABreachRate,Decimal,0,25,Share of tickets breaching their SLA.,Defined in this build
DimMerchantSegment,BaseMonthlySalesTarget,Decimal,0,25,"Supplied monthly target. Not on the same scale as actual sales — attainment runs 381% to 916%, so it is a relative ranking device only.",Defined in this build
DimMerchantSegment,TargetAttainmentPct,Decimal,0,25,Actual divided by target. See the calibration caveat above.,Defined in this build
MerchantValueRisk,merchant_key,Text,0,25,Surrogate key. Joins to the matching dimension.,Convention
MerchantValueRisk,merchant_name,Text,0,25,Merchant trading name.,Defined in this build
MerchantValueRisk,region,Text,0,25,Merchant operating region,Supplied DataDictionary
MerchantValueRisk,channel,Text,0,25,Primary merchant sales channel,Supplied DataDictionary
MerchantValueRisk,account_manager,Text,0,25,Owner the merchant is routed to.,Defined in this build
MerchantValueRisk,merchant_size_band,Text,0,25,Banding of the matching score.,Convention
MerchantValueRisk,health_score,Decimal,0,25,Derived score. See the section that defines it.,Convention
MerchantValueRisk,health_band,Text,0,25,Banding of the matching score.,Convention
